Equipment_ID,Failure_Risk,Tool_Wear,Maintenance_Priority,Next_Maintenance,Days_Until_Maintenance
1,0.046694679547598136,37.44091494745785,Low,Immediate,0.0
2,0.14425755048324135,103.74502431622072,Low,Immediate,0.0
3,0.0950297531596195,111.73306655858146,Low,Within 1 week,1.0
4,0.04025997685364622,104.71680781066794,Low,Within 1 week,1.0
5,0.17980527277710345,102.6335128024182,Low,Within 1 week,1.0
6,0.07699267183671084,100.8057253036859,Low,Within 1 week,1.0
7,0.25367800450725103,105.82178546527906,Low,Within 1 week,1.0
8,0.17689050341052462,107.23926513469381,Low,Within 1 week,1.0
9,0.27643101379613005,106.72738000032473,Low,Within 1 week,1.0
10,0.13659123897926706,106.89123669712474,Low,Within 1 week,1.0
11,0.09560180330614675,100.85756075886663,Low,Within 1 week,1.0
12,0.3371573019474883,104.77744012833412,Low,Immediate,0.0
13,0.030933814193192924,96.16599674062981,Low,Within 1 week,1.0
14,0.1639285047565813,105.1533424413518,Low,Within 1 week,1.0
15,0.014393430498459434,104.53500268974794,Low,Within 1 week,1.0
16,0.19869200225562167,126.35958602028722,Low,Immediate,0.0
17,0.4118342438918555,109.4162348184214,Medium,Immediate,0.0
18,0.03619493987940034,106.51913873798837,Low,Within 1 week,1.0
19,0.011828415560727017,99.72476796600048,Low,Within 1 week,1.0
20,0.1102578266713746,106.64352852865613,Low,Within 1 week,1.0
21,0.14016874297261578,102.29031656971976,Low,Within 1 week,1.0
22,0.11291327277806065,103.8542048952634,Low,Within 1 week,1.0
23,0.08741749850812944,105.02201932908784,Low,Immediate,0.0
24,0.16586378192562673,108.61032760784288,Low,Within 1 week,1.0
25,0.11716067137521097,102.05833307841313,Low,Immediate,0.0
26,0.2730223240648838,103.01537069048342,Low,Immediate,0.0
27,0.05194137073302081,103.38986837788576,Low,Within 1 week,1.0
28,0.26526673553819025,102.01491231891711,Low,Within 1 week,1.0
29,0.1439418050121874,105.54214745493375,Low,Immediate,0.0
30,0.13190901943474395,113.19822831934756,Low,Within 1 week,1.0
31,0.056907858144770646,104.61634238072328,Low,Within 1 week,1.0
32,0.14903744131409144,100.3120782868383,Low,Within 1 week,1.0
33,0.07410601203194028,105.2489730612634,Low,Immediate,0.0
34,0.05485168227427641,104.13938565151784,Low,Immediate,0.0
35,0.14190317964066296,98.37664214807154,Low,Within 1 week,1.0
36,0.14630628105722684,101.29892754424178,Low,Within 1 week,1.0
37,0.11598579625068016,88.13804095569063,Low,Within 1 week,2.0
38,0.09326883801378344,92.49876181547353,Low,Within 1 week,2.0
39,0.20159279745470154,102.44338077697684,Low,Within 1 week,1.0
40,0.12072434085533741,100.40237391282125,Low,Within 1 week,1.0
41,0.022052971493135173,104.91436019654589,Low,Immediate,0.0
42,0.05535460193808737,108.23915105746667,Low,Within 1 week,1.0
43,0.40780607352319925,100.53879196707274,Medium,Immediate,0.0
44,0.10519886868996764,104.28040980517845,Low,Within 1 week,1.0
45,0.39378675262146884,105.22256149157155,Low,Immediate,0.0
46,0.0731307837837388,102.60328942537035,Low,Within 1 week,1.0
47,0.1827028586232636,106.85476206843255,Low,Within 1 week,1.0
48,0.14343512794537683,106.04126817375347,Low,Within 1 week,1.0
49,0.09853622780457283,110.39365130169291,Low,Within 1 week,1.0
50,0.4697556292499104,106.8848701113425,Medium,Immediate,0.0
51,0.4523564615542398,148.724309987918,Medium,Immediate,0.0
52,0.14404463152260283,105.11431470367863,Low,Within 1 week,1.0
53,0.2200839080037343,105.20278094680184,Low,Within 1 week,1.0
54,0.21472233767221421,105.40226328796057,Low,Within 1 week,1.0
55,0.05885162180890151,104.33976321784267,Low,Immediate,0.0
56,0.05794013936380332,100.83923621450683,Low,Immediate,0.0
57,0.04260940283954264,102.3323256001564,Low,Immediate,0.0
58,0.07996192195707862,108.15069666030986,Low,Immediate,0.0
59,0.1498372005625868,106.36195609639998,Low,Within 1 week,1.0
60,0.429219696448554,108.94827734303138,Medium,Immediate,0.0
61,0.11006723996563811,113.53673699068464,Low,Within 1 week,1.0
62,0.104203655683345,104.2854426779521,Low,Within 1 week,1.0
63,0.06164537586593518,105.61656677831628,Low,Within 1 week,1.0
64,0.04703884838803209,104.35447104967348,Low,Immediate,0.0
65,0.04914430949093316,103.57882672026219,Low,Within 1 week,1.0
66,0.19754588719341482,104.92208869732059,Low,Within 1 week,1.0
